"id_tiempo","id_fecha","id_estado_cielo","temperatura","sensacion_termica","racha_max","precipitacion","nieve","humedad_relativa","probabilidad_de_nieve","probabilidad_de_tormenta","direccion_viento","velocidad_del_viento","id_municipio"
96,8,1,19,19,14.0,0.0,0,70,0,75,S,18,3
97,9,6,20,20,12.0,0.0,0,43,0,50,O,6,3
98,10,7,18,18,10.0,0.1,0,56,0,50,NO,6,3
99,11,6,16,16,11.0,0.0,0,63,0,50,N,4,3
100,12,5,15,15,7.0,0.0,0,69,0,50,NO,6,3
101,13,5,13,13,14.0,0.0,0,75,0,50,NO,3,3
102,14,5,12,12,12.0,0.0,0,78,0,50,E,7,3
103,15,6,13,13,15.0,0.0,0,88,0,20,NO,3,3
104,16,6,12,12,13.0,0.0,0,89,0,20,NO,8,3
105,17,6,12,12,11.0,0.0,0,93,0,20,NO,7,3
106,18,6,12,12,9.0,0.0,0,95,0,20,NO,6,3
107,19,6,12,12,8.0,0.0,0,95,0,20,NO,5,3
108,20,2,12,12,8.0,0.0,0,95,0,20,NO,4,3
109,21,5,11,11,8.0,0.0,0,100,0,65,NO,4,3
110,22,5,15,15,14.0,0.0,0,93,0,65,O,3,3
111,23,8,18,18,23.0,0.0,0,77,0,65,SE,5,3
112,24,10,21,21,25.0,9.0,0,71,0,65,E,10,3
113,25,10,23,23,29.0,5.0,0,71,0,65,SE,9,3
114,26,10,25,25,23.0,3.0,0,54,0,65,S,12,3
115,27,7,27,27,8.0,0.2,0,42,0,65,N,11,3
116,28,2,27,27,15.0,0.0,0,45,0,65,S,3,3
117,29,1,27,27,15.0,0.0,0,44,0,65,SE,6,3
118,30,1,28,28,20.0,0.0,0,41,0,65,E,5,3
119,31,6,26,26,16.0,0.0,0,39,0,65,SE,8,3
120,32,6,25,25,11.0,0.0,0,43,0,65,E,7,3
121,33,6,24,24,12.0,0.0,0,48,0,25,E,3,3
122,34,6,21,21,9.0,0.0,0,55,0,25,NO,7,3
123,35,6,19,19,11.0,0.0,0,67,0,25,NO,5,3
124,36,4,16,16,10.0,0.0,0,77,0,25,NO,6,3
125,37,8,15,15,9.0,0.0,0,81,0,25,NO,6,3
126,38,6,14,14,15.0,0.0,0,85,0,25,NO,4,3
127,39,6,13,13,10.0,0.0,0,93,0,0,N,7,3
128,40,6,12,12,11.0,0.0,0,90,0,0,N,5,3
129,41,6,11,11,11.0,0.0,0,93,0,0,N,6,3
130,42,5,12,12,14.0,0.0,0,91,0,0,N,5,3
131,43,6,12,12,13.0,0.0,0,89,0,0,NO,7,3
132,44,1,12,12,10.0,0.0,0,86,0,0,O,7,3
133,1,9,25,25,16.0,0.1,0,55,0,60,E,8,4
134,2,7,27,27,16.0,0.1,0,48,0,60,E,6,4
135,3,1,28,28,18.0,0.0,0,42,0,70,S,7,4
136,4,8,28,28,22.0,0.0,0,40,0,70,S,7,4
137,5,1,29,29,39.0,0.0,0,37,0,70,S,11,4
138,6,9,29,29,58.0,1.0,0,38,0,70,SE,17,4
139,7,7,27,29,25.0,0.4,0,67,0,70,NO,20,4
140,8,2,25,25,17.0,0.0,0,72,0,70,E,17,4
141,9,7,23,23,15.0,0.1,0,87,0,55,N,12,4
142,10,6,21,21,19.0,0.0,0,88,0,55,N,9,4
143,11,6,19,19,22.0,0.0,0,99,0,55,NE,13,4
144,12,14,19,19,19.0,0.1,0,82,0,55,NE,14,4
145,13,2,19,19,17.0,0.0,0,86,0,55,NE,12,4
146,14,6,19,19,19.0,0.0,0,93,0,55,N,12,4
147,15,1,18,18,21.0,0.0,0,94,0,0,NE,13,4
148,16,8,18,18,24.0,0.0,0,94,0,0,NE,15,4
149,17,2,18,18,26.0,0.0,0,90,0,0,NE,17,4
150,18,5,18,18,26.0,0.0,0,92,0,0,NE,18,4
151,19,2,18,18,23.0,0.0,0,94,0,0,NE,18,4
152,20,4,18,18,24.0,0.0,0,95,0,0,NE,16,4
153,21,2,18,18,22.0,0.0,0,97,0,10,NE,17,4
154,22,8,20,20,27.0,0.0,0,90,0,10,NE,14,4
155,23,8,22,22,32.0,0.0,0,81,0,10,E,18,4
156,24,2,24,24,33.0,0.0,0,78,0,10,SE,22,4
157,25,1,25,25,26.0,0.0,0,64,0,10,E,17,4
158,26,1,27,28,28.0,0.0,0,63,0,10,NE,18,4
159,27,4,28,29,36.0,0.0,0,57,0,45,NE,16,4
160,28,4,29,30,32.0,0.0,0,56,0,45,NE,24,4
161,29,4,30,31,24.0,0.0,0,50,0,45,NE,20,4
162,30,6,31,32,21.0,0.0,0,49,0,45,NE,16,4
163,31,5,30,32,17.0,0.0,0,56,0,45,NE,14,4
164,32,1,29,31,17.0,0.0,0,62,0,45,NE,10,4
165,33,4,28,30,15.0,0.0,0,67,0,5,NE,12,4
166,34,1,26,26,20.0,0.0,0,73,0,5,NE,11,4
167,35,1,24,24,15.0,0.0,0,80,0,5,NE,14,4
168,36,6,21,21,14.0,0.0,0,90,0,5,NE,10,4
169,37,6,21,21,15.0,0.0,0,91,0,5,NE,10,4
170,38,2,21,21,17.0,0.0,0,89,0,5,E,11,4
171,39,6,21,21,18.0,0.0,0,84,0,5,E,12,4
