,indice_fecha,indice_estado_cielo,temp._(°c),sen._térmica_(°c),racha_máx._(km/h),precipitación_(mm),nieve_(mm),humedad_relativa_(%),prob._de_nieve_(%),prob._de_tormenta_(%),dirección_viento,velocidad_del_viento,indice_municipio
0,1,1,21,21,25.0,0.0,0,69,0,75,S,7,1
1,2,1,24,24,29.0,0.0,0,57,0,75,SE,12,1
2,3,2,23,23,33.0,0.0,0,59,0,80,S,14,1
3,4,1,23,23,35.0,0.0,0,55,0,80,S,17,1
4,5,1,21,21,34.0,0.0,0,65,0,80,S,20,1
5,6,3,21,21,35.0,0.1,0,59,0,80,S,17,1
6,7,4,20,20,19.0,0.0,0,65,0,80,S,20,1
7,8,4,19,19,27.0,0.0,0,60,0,80,S,9,1
8,9,4,19,19,7.0,0.0,0,46,0,45,S,11,1
9,10,1,18,18,9.0,0.0,0,52,0,45,NE,4,1
10,11,1,17,17,10.0,0.0,0,58,0,45,NO,5,1
11,12,5,16,16,9.0,0.0,0,65,0,45,NO,7,1
12,13,6,15,15,6.0,0.0,0,70,0,45,NO,4,1
13,14,7,15,15,13.0,0.1,0,75,0,45,S,4,1
14,15,1,14,14,13.0,0.0,0,90,0,15,N,6,1
15,16,5,14,14,13.0,0.0,0,100,0,15,N,8,1
16,17,6,14,14,9.0,0.0,0,100,0,15,N,8,1
17,18,8,13,13,6.0,0.0,0,100,0,15,N,5,1
18,19,8,13,13,6.0,0.0,0,100,0,15,N,4,1
19,20,2,13,13,6.0,0.0,0,100,0,15,NE,4,1
20,21,6,12,12,8.0,0.0,0,100,0,70,N,2,1
21,22,6,15,15,17.0,0.0,0,100,0,70,NO,5,1
22,23,8,17,17,22.0,0.0,0,90,0,70,SE,7,1
23,24,9,19,19,35.0,1.0,0,77,0,70,S,11,1
24,25,10,21,21,30.0,20.0,0,74,0,70,SE,16,1
25,26,10,23,23,14.0,3.0,0,59,0,70,E,10,1
26,27,7,24,24,15.0,0.1,0,47,0,70,NO,9,1
27,28,1,25,25,16.0,0.0,0,44,0,70,SO,7,1
28,29,1,25,25,11.0,0.0,0,50,0,70,SE,8,1
29,30,6,26,26,13.0,0.0,0,47,0,70,S,5,1
30,31,6,25,25,18.0,0.0,0,49,0,70,SE,6,1
31,32,1,24,24,12.0,0.0,0,48,0,70,S,10,1
32,33,4,24,24,5.0,0.0,0,58,0,20,S,6,1
33,34,6,21,21,5.0,0.0,0,69,0,20,NO,3,1
34,35,6,19,19,6.0,0.0,0,77,0,20,NO,3,1
35,36,6,16,16,6.0,0.0,0,88,0,20,N,4,1
36,37,2,16,16,5.0,0.0,0,88,0,20,O,3,1
37,38,4,16,16,7.0,0.0,0,92,0,20,O,2,1
38,39,5,16,16,3.0,0.0,0,96,0,0,SO,3,1
39,40,4,15,15,5.0,0.0,0,96,0,0,C,0,1
40,41,6,14,14,3.0,0.0,0,98,0,0,E,3,1
41,42,6,14,14,9.0,0.0,0,97,0,0,NO,1,1
42,43,4,14,14,13.0,0.0,0,93,0,0,NO,6,1
43,44,1,13,13,10.0,0.0,0,97,0,0,NO,7,1
44,1,3,24,24,15.0,0.1,0,64,0,70,E,8,2
45,2,3,26,26,18.0,0.1,0,57,0,70,E,7,2
46,3,1,27,27,18.0,0.0,0,51,0,75,E,8,2
47,4,2,28,28,21.0,0.0,0,44,0,75,S,7,2
48,5,1,27,27,40.0,0.0,0,46,0,75,SO,11,2
49,6,8,25,25,14.0,0.0,0,49,0,75,S,25,2
50,7,3,26,26,65.0,0.1,0,49,0,75,SO,4,2
51,8,11,24,24,18.0,0.3,0,48,0,75,O,41,2
52,9,1,22,22,18.0,0.0,0,54,0,65,NE,13,2
53,10,1,21,21,23.0,0.0,0,68,0,65,NE,11,2
54,11,9,20,20,17.0,1.0,0,85,0,65,E,9,2
55,12,12,20,20,24.0,7.0,0,92,0,65,E,5,2
56,13,7,19,19,15.0,0.8,0,86,0,65,N,17,2
57,14,5,19,19,18.0,0.0,0,93,0,65,E,9,2
58,15,13,19,19,31.0,0.0,0,96,0,20,N,12,2
59,16,13,18,18,26.0,0.0,0,96,0,20,NE,21,2
60,17,13,18,18,21.0,0.0,0,98,0,20,N,16,2
61,18,13,18,18,23.0,0.0,0,100,0,20,NE,14,2
62,19,13,18,18,30.0,0.0,0,100,0,20,NE,16,2
63,20,13,17,17,15.0,0.0,0,100,0,20,NE,18,2
64,21,2,17,17,26.0,0.0,0,100,0,25,N,11,2
65,22,2,19,19,22.0,0.0,0,96,0,25,NE,17,2
66,23,8,22,22,26.0,0.0,0,86,0,25,E,13,2
67,24,8,24,24,27.0,0.0,0,78,0,25,SE,18,2
68,25,2,25,25,28.0,0.0,0,55,0,25,NE,6,2
69,26,1,26,26,36.0,0.0,0,53,0,25,N,14,2
70,27,9,28,29,24.0,0.1,0,51,0,50,N,19,2
71,28,9,28,29,19.0,0.1,0,52,0,50,NE,14,2
72,29,7,29,29,18.0,0.1,0,48,0,50,NE,10,2
73,30,9,30,31,15.0,0.1,0,52,0,50,NE,10,2
74,31,7,27,28,16.0,0.1,0,62,0,50,NE,9,2
75,32,7,23,23,16.0,0.1,0,73,0,50,NE,11,2
76,33,1,24,24,11.0,0.0,0,84,0,25,NE,10,2
77,34,1,23,23,14.0,0.0,0,88,0,25,NE,8,2
78,35,6,22,22,15.0,0.0,0,90,0,25,N,9,2
79,36,8,21,21,13.0,0.0,0,91,0,25,NE,10,2
80,37,2,20,20,9.0,0.0,0,88,0,25,NE,9,2
81,38,2,20,20,10.0,0.0,0,90,0,25,NE,7,2
82,39,8,20,20,9.0,0.0,0,91,0,5,NE,6,2
83,40,6,19,19,13.0,0.0,0,93,0,5,E,6,2
84,41,5,18,18,18.0,0.0,0,92,0,5,NE,9,2
85,42,5,18,18,18.0,0.0,0,96,0,5,N,13,2
86,43,5,17,17,9.0,0.0,0,94,0,5,N,11,2
87,44,1,17,17,10.0,0.0,0,95,0,5,NE,7,2
88,1,2,23,23,23.0,0.0,0,64,0,75,E,6,3
89,2,1,26,26,28.0,0.0,0,50,0,75,E,8,3
90,3,1,25,25,35.0,0.0,0,50,0,75,S,12,3
91,4,1,24,24,35.0,0.0,0,54,0,75,S,15,3
92,5,6,25,25,32.0,0.0,0,48,0,75,S,17,3
93,6,11,25,25,32.0,0.1,0,50,0,75,S,13,3
94,7,8,22,22,37.0,0.0,0,54,0,75,S,15,3
95,8,1,19,19,14.0,0.0,0,70,0,75,S,18,3
96,9,6,20,20,12.0,0.0,0,43,0,50,O,6,3
97,10,7,18,18,10.0,0.1,0,56,0,50,NO,6,3
98,11,6,16,16,11.0,0.0,0,63,0,50,N,4,3
99,12,5,15,15,7.0,0.0,0,69,0,50,NO,6,3
100,13,5,13,13,14.0,0.0,0,75,0,50,NO,3,3
101,14,5,12,12,12.0,0.0,0,78,0,50,E,7,3
102,15,6,13,13,15.0,0.0,0,88,0,20,NO,3,3
103,16,6,12,12,13.0,0.0,0,89,0,20,NO,8,3
104,17,6,12,12,11.0,0.0,0,93,0,20,NO,7,3
105,18,6,12,12,9.0,0.0,0,95,0,20,NO,6,3
106,19,6,12,12,8.0,0.0,0,95,0,20,NO,5,3
107,20,2,12,12,8.0,0.0,0,95,0,20,NO,4,3
108,21,5,11,11,8.0,0.0,0,100,0,65,NO,4,3
109,22,5,15,15,14.0,0.0,0,93,0,65,O,3,3
110,23,8,18,18,23.0,0.0,0,77,0,65,SE,5,3
111,24,10,21,21,25.0,9.0,0,71,0,65,E,10,3
112,25,10,23,23,29.0,5.0,0,71,0,65,SE,9,3
113,26,10,25,25,23.0,3.0,0,54,0,65,S,12,3
114,27,7,27,27,8.0,0.2,0,42,0,65,N,11,3
115,28,2,27,27,15.0,0.0,0,45,0,65,S,3,3
116,29,1,27,27,15.0,0.0,0,44,0,65,SE,6,3
117,30,1,28,28,20.0,0.0,0,41,0,65,E,5,3
118,31,6,26,26,16.0,0.0,0,39,0,65,SE,8,3
119,32,6,25,25,11.0,0.0,0,43,0,65,E,7,3
120,33,6,24,24,12.0,0.0,0,48,0,25,E,3,3
121,34,6,21,21,9.0,0.0,0,55,0,25,NO,7,3
122,35,6,19,19,11.0,0.0,0,67,0,25,NO,5,3
123,36,4,16,16,10.0,0.0,0,77,0,25,NO,6,3
124,37,8,15,15,9.0,0.0,0,81,0,25,NO,6,3
125,38,6,14,14,15.0,0.0,0,85,0,25,NO,4,3
126,39,6,13,13,10.0,0.0,0,93,0,0,N,7,3
127,40,6,12,12,11.0,0.0,0,90,0,0,N,5,3
128,41,6,11,11,11.0,0.0,0,93,0,0,N,6,3
129,42,5,12,12,14.0,0.0,0,91,0,0,N,5,3
130,43,6,12,12,13.0,0.0,0,89,0,0,NO,7,3
131,44,1,12,12,10.0,0.0,0,86,0,0,O,7,3
132,1,9,25,25,16.0,0.1,0,55,0,60,E,8,4
133,2,7,27,27,16.0,0.1,0,48,0,60,E,6,4
134,3,1,28,28,18.0,0.0,0,42,0,70,S,7,4
135,4,8,28,28,22.0,0.0,0,40,0,70,S,7,4
136,5,1,29,29,39.0,0.0,0,37,0,70,S,11,4
137,6,9,29,29,58.0,1.0,0,38,0,70,SE,17,4
138,7,7,27,29,25.0,0.4,0,67,0,70,NO,20,4
139,8,2,25,25,17.0,0.0,0,72,0,70,E,17,4
140,9,7,23,23,15.0,0.1,0,87,0,55,N,12,4
141,10,6,21,21,19.0,0.0,0,88,0,55,N,9,4
142,11,6,19,19,22.0,0.0,0,99,0,55,NE,13,4
143,12,14,19,19,19.0,0.1,0,82,0,55,NE,14,4
144,13,2,19,19,17.0,0.0,0,86,0,55,NE,12,4
145,14,6,19,19,19.0,0.0,0,93,0,55,N,12,4
146,15,1,18,18,21.0,0.0,0,94,0,0,NE,13,4
147,16,8,18,18,24.0,0.0,0,94,0,0,NE,15,4
148,17,2,18,18,26.0,0.0,0,90,0,0,NE,17,4
149,18,5,18,18,26.0,0.0,0,92,0,0,NE,18,4
150,19,2,18,18,23.0,0.0,0,94,0,0,NE,18,4
151,20,4,18,18,24.0,0.0,0,95,0,0,NE,16,4
152,21,2,18,18,22.0,0.0,0,97,0,10,NE,17,4
153,22,8,20,20,27.0,0.0,0,90,0,10,NE,14,4
154,23,8,22,22,32.0,0.0,0,81,0,10,E,18,4
155,24,2,24,24,33.0,0.0,0,78,0,10,SE,22,4
156,25,1,25,25,26.0,0.0,0,64,0,10,E,17,4
157,26,1,27,28,28.0,0.0,0,63,0,10,NE,18,4
158,27,4,28,29,36.0,0.0,0,57,0,45,NE,16,4
159,28,4,29,30,32.0,0.0,0,56,0,45,NE,24,4
160,29,4,30,31,24.0,0.0,0,50,0,45,NE,20,4
161,30,6,31,32,21.0,0.0,0,49,0,45,NE,16,4
162,31,5,30,32,17.0,0.0,0,56,0,45,NE,14,4
163,32,1,29,31,17.0,0.0,0,62,0,45,NE,10,4
164,33,4,28,30,15.0,0.0,0,67,0,5,NE,12,4
165,34,1,26,26,20.0,0.0,0,73,0,5,NE,11,4
166,35,1,24,24,15.0,0.0,0,80,0,5,NE,14,4
167,36,6,21,21,14.0,0.0,0,90,0,5,NE,10,4
168,37,6,21,21,15.0,0.0,0,91,0,5,NE,10,4
169,38,2,21,21,17.0,0.0,0,89,0,5,E,11,4
170,39,6,21,21,18.0,0.0,0,84,0,5,E,12,4
171,40,4,20,20,19.0,0.0,0,86,0,5,E,11,4
172,41,2,19,19,13.0,0.0,0,85,0,5,NE,13,4
173,42,6,19,19,12.0,0.0,0,87,0,5,NE,8,4
174,43,5,19,19,10.0,0.0,0,90,0,5,N,8,4
175,44,1,18,18,8.0,0.0,0,90,0,5,NE,6,4
176,1,15,25,25,18.0,0.1,0,61,0,75,SE,8,5
177,2,7,27,28,18.0,0.1,0,55,0,75,E,7,5
178,3,8,28,28,21.0,0.0,0,46,0,80,E,5,5
179,4,8,29,29,35.0,0.0,0,42,0,80,S,8,5
180,5,1,27,27,37.0,0.0,0,49,0,80,S,21,5
181,6,6,26,26,30.0,0.0,0,47,0,80,S,22,5
182,7,8,27,27,30.0,0.0,0,42,0,80,S,15,5
183,8,7,25,25,21.0,0.8,0,46,0,80,S,16,5
184,9,2,23,23,18.0,0.0,0,68,0,70,NE,12,5
185,10,8,22,22,24.0,0.0,0,77,0,70,N,9,5
186,11,16,21,21,38.0,6.0,0,88,0,70,N,9,5
187,12,2,20,20,38.0,0.0,0,96,0,70,NE,17,5
188,13,6,19,19,36.0,0.0,0,97,0,70,E,10,5
189,14,5,19,19,22.0,0.0,0,97,0,70,E,18,5
190,15,6,18,18,29.0,0.0,0,100,0,15,NE,15,5
191,16,4,18,18,24.0,0.0,0,100,0,15,N,19,5
192,17,2,18,18,18.0,0.0,0,100,0,15,NE,15,5
193,18,5,18,18,19.0,0.0,0,100,0,15,NE,12,5
194,19,4,18,18,21.0,0.0,0,100,0,15,NE,13,5
195,20,6,18,18,15.0,0.0,0,100,0,15,NE,14,5
196,21,8,17,17,23.0,0.0,0,100,0,25,NE,9,5
197,22,2,20,20,16.0,0.0,0,94,0,25,NE,14,5
198,23,8,22,22,30.0,0.0,0,85,0,25,NE,8,5
199,24,2,24,24,35.0,0.0,0,77,0,25,SE,20,5
200,25,1,26,26,34.0,0.0,0,58,0,25,E,23,5
201,26,1,27,28,31.0,0.0,0,56,0,25,NO,22,5
202,27,2,28,29,25.0,0.0,0,51,0,60,N,15,5
203,28,8,29,30,19.0,0.0,0,56,0,60,NE,14,5
204,29,7,30,31,20.0,0.1,0,50,0,60,NE,10,5
205,30,8,31,33,14.0,0.0,0,52,0,60,NE,10,5
206,31,6,28,29,16.0,0.0,0,52,0,60,E,7,5
207,32,5,26,26,17.0,0.0,0,60,0,60,NE,9,5
208,33,6,24,24,9.0,0.0,0,75,0,25,NE,9,5
209,34,6,23,23,12.0,0.0,0,85,0,25,NE,6,5
210,35,6,22,22,14.0,0.0,0,90,0,25,NE,8,5
211,36,8,21,21,15.0,0.0,0,91,0,25,E,10,5
212,37,2,21,21,10.0,0.0,0,85,0,25,N,8,5
213,38,2,20,20,9.0,0.0,0,83,0,25,N,6,5
214,39,4,19,19,11.0,0.0,0,85,0,10,NE,3,5
215,40,6,19,19,14.0,0.0,0,92,0,10,O,2,5
216,41,5,18,18,13.0,0.0,0,91,0,10,NE,8,5
217,42,5,17,17,12.0,0.0,0,99,0,10,NE,9,5
218,43,6,17,17,10.0,0.0,0,96,0,10,E,5,5
219,44,4,17,17,10.0,0.0,0,93,0,10,E,7,5
220,1,9,23,23,16.0,0.1,0,65,0,70,E,9,6
221,2,9,25,25,19.0,0.1,0,59,0,70,NE,8,6
222,3,2,27,28,21.0,0.0,0,52,0,75,E,7,6
223,4,1,27,27,13.0,0.0,0,49,0,75,S,10,6
224,5,3,28,28,50.0,1.0,0,43,0,75,SO,5,6
225,6,3,27,28,9.0,1.0,0,61,0,75,S,31,6
226,7,1,25,25,61.0,0.0,0,65,0,75,NO,4,6
227,8,4,24,24,24.0,0.0,0,51,0,75,NO,24,6
228,9,8,22,22,19.0,0.0,0,62,0,65,NO,15,6
229,10,1,21,21,21.0,0.0,0,68,0,65,N,12,6
230,11,5,21,21,22.0,0.0,0,82,0,65,NE,12,6
231,12,14,21,21,23.0,0.1,0,82,0,65,N,14,6
232,13,8,20,20,16.0,0.0,0,86,0,65,N,14,6
233,14,7,20,20,24.0,0.1,0,89,0,65,N,10,6
234,15,6,19,19,34.0,0.0,0,88,0,20,N,15,6
235,16,2,19,19,27.0,0.0,0,87,0,20,N,18,6
236,17,8,19,19,23.0,0.0,0,89,0,20,NE,17,6
237,18,4,19,19,24.0,0.0,0,89,0,20,NE,14,6
238,19,5,19,19,25.0,0.0,0,90,0,20,NE,15,6
239,20,5,18,18,19.0,0.0,0,95,0,20,NE,15,6
240,21,8,18,18,23.0,0.0,0,99,0,20,N,11,6
241,22,8,20,20,17.0,0.0,0,89,0,20,NE,14,6
242,23,8,22,22,34.0,0.0,0,83,0,20,E,10,6
243,24,8,24,24,14.0,0.0,0,75,0,20,SE,21,6
244,25,8,25,25,30.0,0.0,0,67,0,20,S,3,6
245,26,1,26,26,31.0,0.0,0,56,0,20,C,0,6
246,27,8,28,29,25.0,0.0,0,52,0,50,NE,17,6
247,28,6,29,29,21.0,0.0,0,47,0,50,NE,14,6
248,29,6,29,29,23.0,0.0,0,45,0,50,NE,11,6
249,30,7,30,30,22.0,0.1,0,45,0,50,NE,11,6
250,31,5,27,28,22.0,0.0,0,59,0,50,NE,12,6
251,32,6,23,23,20.0,0.0,0,79,0,50,NE,13,6
252,33,6,24,24,12.0,0.0,0,76,0,25,NE,11,6
253,34,1,23,23,17.0,0.0,0,73,0,25,NE,7,6
254,35,1,23,23,17.0,0.0,0,79,0,25,N,11,6
255,36,2,22,22,10.0,0.0,0,87,0,25,N,11,6
256,37,6,21,21,10.0,0.0,0,85,0,25,E,6,6
257,38,8,21,21,12.0,0.0,0,83,0,25,NE,7,6
258,39,2,20,20,13.0,0.0,0,86,0,0,NE,8,6
259,40,8,20,20,10.0,0.0,0,87,0,0,E,8,6
260,41,5,19,19,15.0,0.0,0,78,0,0,E,5,6
261,42,2,19,19,20.0,0.0,0,86,0,0,N,10,6
262,43,5,19,19,11.0,0.0,0,90,0,0,N,10,6
263,44,1,18,18,5.0,0.0,0,91,0,0,NE,7,6
264,45,9,23,23,19.0,0.1,0,68,0,65,E,10,7
265,1,7,24,24,19.0,0.1,0,60,0,65,E,9,7
266,2,17,25,25,18.0,0.1,0,55,0,65,E,8,7
267,3,1,26,26,21.0,0.0,0,49,0,70,SE,8,7
268,4,8,27,27,18.0,0.0,0,46,0,70,SE,10,7
269,5,8,27,27,46.0,0.0,0,44,0,70,SE,7,7
270,6,8,28,28,15.0,0.0,0,47,0,70,SE,22,7
271,7,7,25,25,19.0,0.8,0,52,0,70,C,0,7
272,8,4,22,22,21.0,0.0,0,72,0,70,NE,12,7
273,9,7,20,20,17.0,0.1,0,81,0,70,N,11,7
274,10,9,20,20,25.0,0.1,0,77,0,70,E,11,7
275,11,9,18,18,28.0,0.1,0,78,0,70,NE,15,7
276,12,17,19,19,23.0,0.1,0,81,0,70,NE,18,7
277,13,7,18,18,28.0,0.1,0,86,0,70,NE,13,7
278,14,7,18,18,30.0,0.1,0,91,0,70,NE,17,7
279,15,2,18,18,36.0,0.0,0,95,0,15,NE,19,7
280,16,2,18,18,30.0,0.0,0,90,0,15,NE,22,7
281,17,4,18,18,30.0,0.0,0,89,0,15,NE,19,7
282,18,6,18,18,27.0,0.0,0,87,0,15,NE,18,7
283,19,5,18,18,26.0,0.0,0,91,0,15,NE,16,7
284,20,6,17,17,26.0,0.0,0,94,0,15,NE,16,7
285,21,6,17,17,26.0,0.0,0,100,0,20,NE,16,7
286,22,8,19,19,26.0,0.0,0,90,0,20,NE,15,7
287,23,8,21,21,32.0,0.0,0,80,0,20,E,16,7
288,24,8,23,23,39.0,0.0,0,77,0,20,E,16,7
289,25,8,25,25,40.0,0.0,0,68,0,20,E,25,7
290,26,1,26,26,32.0,0.0,0,60,0,20,N,18,7
291,27,14,27,28,33.0,0.1,0,54,0,55,NE,16,7
292,28,14,28,29,30.0,0.1,0,52,0,55,NE,18,7
293,29,7,28,28,28.0,0.1,0,44,0,55,NE,16,7
294,30,7,29,29,27.0,0.1,0,43,0,55,NE,16,7
295,31,7,27,27,25.0,0.1,0,49,0,55,NE,15,7
296,32,7,25,25,21.0,0.1,0,61,0,55,NE,14,7
297,33,6,23,23,18.0,0.0,0,74,0,20,NE,12,7
298,34,1,22,22,23.0,0.0,0,75,0,20,E,10,7
299,35,1,21,21,20.0,0.0,0,80,0,20,NE,14,7
300,36,5,20,20,18.0,0.0,0,89,0,20,NE,12,7
301,37,6,20,20,17.0,0.0,0,95,0,20,E,11,7
302,38,8,20,20,16.0,0.0,0,91,0,20,E,11,7
303,39,2,19,19,24.0,0.0,0,89,0,5,NE,10,7
304,40,8,19,19,17.0,0.0,0,83,0,5,E,15,7
305,41,6,19,19,23.0,0.0,0,80,0,5,NE,9,7
306,42,4,18,18,17.0,0.0,0,83,0,5,NE,14,7
307,43,5,18,18,12.0,0.0,0,85,0,5,NE,9,7
308,44,1,18,18,11.0,0.0,0,90,0,5,NE,7,7
309,1,14,26,26,16.0,0.1,0,51,0,60,E,9,8
310,2,7,27,27,18.0,0.1,0,46,0,60,E,6,8
311,3,8,29,29,21.0,0.0,0,40,0,65,SE,7,8
312,4,8,30,30,21.0,0.0,0,36,0,65,SE,8,8
313,5,2,31,31,20.0,0.0,0,34,0,65,SE,8,8
314,6,14,30,30,21.0,0.7,0,36,0,65,SO,10,8
315,7,9,28,29,33.0,0.5,0,57,0,65,NE,12,8
316,8,2,26,26,19.0,0.0,0,60,0,65,NE,20,8
317,9,1,24,24,16.0,0.0,0,60,0,40,N,9,8
318,10,6,22,22,20.0,0.0,0,70,0,40,SO,10,8
319,11,6,20,20,19.0,0.0,0,78,0,40,E,12,8
320,12,6,20,20,18.0,0.0,0,80,0,40,NE,11,8
321,13,2,20,20,11.0,0.0,0,81,0,40,N,11,8
322,14,6,19,19,11.0,0.0,0,79,0,40,NE,6,8
323,15,6,19,19,12.0,0.0,0,82,0,5,NE,7,8
324,16,4,19,19,20.0,0.0,0,80,0,5,N,7,8
325,17,4,19,19,21.0,0.0,0,85,0,5,NE,12,8
326,18,6,18,18,18.0,0.0,0,86,0,5,NE,13,8
327,19,5,18,18,23.0,0.0,0,91,0,5,NE,10,8
328,20,8,18,18,24.0,0.0,0,94,0,5,NE,14,8
329,21,6,18,18,28.0,0.0,0,97,0,15,NE,15,8
330,22,4,21,21,29.0,0.0,0,85,0,15,NE,15,8
331,23,8,23,23,30.0,0.0,0,77,0,15,NE,17,8
332,24,8,25,25,25.0,0.0,0,67,0,15,NE,18,8
333,25,13,27,29,36.0,0.0,0,70,0,15,E,15,8
334,26,1,28,29,24.0,0.0,0,57,0,15,NE,22,8
335,27,1,30,31,35.0,0.0,0,48,0,45,E,12,8
336,28,8,31,32,33.0,0.0,0,44,0,45,NE,19,8
337,29,1,31,31,28.0,0.0,0,40,0,45,NE,17,8
338,30,6,32,32,29.0,0.0,0,40,0,45,NE,15,8
339,31,1,31,31,26.0,0.0,0,41,0,45,NE,16,8
340,32,6,29,29,21.0,0.0,0,45,0,45,NE,15,8
341,33,2,28,28,18.0,0.0,0,50,0,15,NE,13,8
342,34,1,26,26,23.0,0.0,0,61,0,15,NE,11,8
343,35,1,23,23,16.0,0.0,0,71,0,15,NE,13,8
344,36,6,21,21,16.0,0.0,0,77,0,15,N,10,8
345,37,5,21,21,23.0,0.0,0,81,0,15,NE,10,8
346,38,2,20,20,24.0,0.0,0,82,0,15,NE,14,8
347,39,4,21,21,22.0,0.0,0,83,0,5,NE,15,8
348,40,4,20,20,23.0,0.0,0,84,0,5,NE,12,8
349,41,6,20,20,14.0,0.0,0,86,0,5,NE,14,8
350,42,5,19,19,12.0,0.0,0,84,0,5,N,7,8
351,43,6,19,19,9.0,0.0,0,82,0,5,N,7,8
352,44,1,19,19,9.0,0.0,0,83,0,5,N,5,8
353,45,3,22,22,16.0,0.1,0,75,0,70,E,8,9
354,1,3,24,24,15.0,0.1,0,67,0,70,E,8,9
355,2,3,25,25,19.0,0.1,0,59,0,70,E,7,9
356,3,1,27,28,19.0,0.0,0,53,0,75,SE,8,9
357,4,1,28,28,20.0,0.0,0,46,0,75,S,8,9
358,5,8,26,26,41.0,0.0,0,47,0,75,SO,11,9
359,6,3,24,24,10.0,0.1,0,51,0,75,S,26,9
360,7,8,25,25,58.0,0.0,0,56,0,75,O,5,9
361,8,6,23,23,17.0,0.0,0,52,0,75,O,34,9
362,9,8,21,21,23.0,0.0,0,51,0,65,NE,11,9
363,10,1,21,21,22.0,0.0,0,75,0,65,NE,11,9
364,11,8,20,20,23.0,0.0,0,84,0,65,NE,9,9
365,12,10,20,20,32.0,2.0,0,82,0,65,E,14,9
366,13,7,19,19,27.0,1.0,0,87,0,65,E,23,9
367,14,5,19,19,15.0,0.0,0,91,0,65,E,16,9
368,15,6,18,18,24.0,0.0,0,97,0,20,N,10,9
369,16,6,18,18,20.0,0.0,0,96,0,20,NE,16,9
370,17,6,18,18,16.0,0.0,0,96,0,20,NE,11,9
371,18,8,18,18,19.0,0.0,0,100,0,20,NE,11,9
372,19,8,17,17,31.0,0.0,0,100,0,20,NE,13,9
373,20,5,17,17,15.0,0.0,0,100,0,20,NE,17,9
374,21,8,17,17,25.0,0.0,0,100,0,25,NE,11,9
375,22,8,19,19,22.0,0.0,0,97,0,25,NE,17,9
376,23,8,21,21,24.0,0.0,0,87,0,25,E,13,9
377,24,8,24,24,22.0,0.0,0,78,0,25,SE,17,9
378,25,8,25,25,25.0,0.0,0,59,0,25,NE,5,9
379,26,1,26,26,37.0,0.0,0,52,0,25,N,11,9
380,27,1,27,27,22.0,0.0,0,50,0,55,N,20,9
381,28,9,28,28,16.0,0.1,0,50,0,55,NE,12,9
382,29,6,29,29,16.0,0.0,0,47,0,55,NE,8,9
383,30,2,29,30,15.0,0.0,0,50,0,55,NE,9,9
384,31,6,27,28,15.0,0.0,0,61,0,55,NE,8,9
385,32,6,25,25,16.0,0.0,0,70,0,55,N,10,9
386,33,6,24,24,10.0,0.0,0,79,0,25,NE,10,9
387,34,1,23,23,12.0,0.0,0,84,0,25,NE,7,9
388,35,6,22,22,20.0,0.0,0,87,0,25,NE,8,9
389,36,8,21,21,20.0,0.0,0,88,0,25,E,12,9
390,37,8,20,20,14.0,0.0,0,85,0,25,E,13,9
391,38,2,20,20,9.0,0.0,0,87,0,25,E,9,9
392,39,2,19,19,14.0,0.0,0,87,0,5,NE,6,9
393,40,6,19,19,14.0,0.0,0,89,0,5,E,10,9
394,41,5,18,18,15.0,0.0,0,91,0,5,NE,9,9
395,42,6,18,18,13.0,0.0,0,91,0,5,N,11,9
396,43,5,17,17,16.0,0.0,0,90,0,5,N,10,9
397,44,1,17,17,16.0,0.0,0,91,0,5,E,12,9
398,1,14,25,25,27.0,0.1,0,61,0,70,E,8,10
399,2,14,26,26,26.0,0.1,0,51,0,70,SE,14,10
400,3,3,26,26,28.0,0.1,0,52,0,70,SE,14,10
401,4,3,24,24,28.0,0.1,0,55,0,70,SE,16,10
402,5,3,26,26,29.0,0.1,0,46,0,70,S,15,10
403,6,11,27,27,48.0,0.1,0,41,0,70,S,16,10
404,7,7,24,24,31.0,0.1,0,52,0,70,S,30,10
405,8,7,20,20,15.0,0.1,0,51,0,70,SE,8,10
406,9,7,21,21,14.0,0.1,0,51,0,65,N,9,10
407,10,9,20,20,10.0,0.1,0,54,0,65,N,7,10
408,11,17,20,20,8.0,0.1,0,59,0,65,O,7,10
409,12,7,19,19,5.0,0.1,0,68,0,65,NO,5,10
410,13,14,19,19,13.0,0.1,0,73,0,65,NO,4,10
411,14,7,18,18,10.0,0.1,0,72,0,65,NE,8,10
412,15,1,18,18,8.0,0.0,0,73,0,15,O,6,10
413,16,4,18,18,7.0,0.0,0,72,0,15,NO,4,10
414,17,2,18,18,6.0,0.0,0,72,0,15,NO,4,10
415,18,4,18,18,16.0,0.0,0,76,0,15,N,3,10
416,19,6,18,18,22.0,0.0,0,86,0,15,NE,10,10
417,20,5,17,17,26.0,0.0,0,93,0,15,E,14,10
418,21,5,17,17,17.0,0.0,0,96,0,50,NE,15,10
419,22,4,20,20,24.0,0.0,0,86,0,50,NE,10,10
420,23,8,22,22,30.0,0.0,0,75,0,50,E,14,10
421,24,9,24,24,27.0,0.3,0,68,0,50,SE,18,10
422,25,10,25,25,50.0,10.0,0,70,0,50,SE,14,10
423,26,7,26,26,19.0,1.0,0,54,0,50,E,24,10
424,27,1,27,27,19.0,0.0,0,47,0,60,O,13,10
425,28,1,28,28,11.0,0.0,0,45,0,60,E,8,10
