"id_lugar","id_municipio","id_categoria","nombre","direccion","distancia_al_centro"
364,77,1,Jardines de el Buen Retiro,Madrid Comunidad de Madrid,1381.0
365,77,1,Puerta de Murillo de los Jardines del Buen Retiro,Madrid Comunidad de Madrid,1339.0
366,77,1,Parque de Madrid,Madrid Comunidad de Madrid,1261.0
367,77,1,Puerta de Madrid de los Jardines del Buen Retiro,Madrid Comunidad de Madrid,1892.0
368,77,1,Parque de Atenas,"28005 Madrid Comunidad de Madrid",1310.0
369,77,1,Plaza de la Independencia (Madrid),"Plaza de la Independencia, s/n, 28014 Madrid Comunidad de Madrid",1306.0
370,77,1,Plaza del Conde del Valle de Suchil,"Pza. del Conde del Valle de Suchil, 3, 28015 Madrid Comunidad de Madrid",1615.0
371,77,1,Parque de la Cornisa,"28005 Madrid Comunidad de Madrid",1250.0
372,77,1,Parque Villa de Paris,"C. Orellana, Madrid Comunidad de Madrid",1399.0
373,77,1,Parque de Perros,N/A,1532.0
374,77,1,Parque Puente del Rey,"Calle, 30, 28011 Madrid Comunidad de Madrid",1602.0
375,77,1,Hotel indignado,N/A,155.0
376,77,1,Parque infantil Plaza Santa Ana,Madrid Comunidad de Madrid,309.0
377,77,1,Parque Casino de la Reina,"Calle Embajadores, 68, 28012 Madrid Comunidad de Madrid",1197.0
378,77,1,Clue Hunter Madrid,"Calle Juanelo, 13, 28012 Madrid Comunidad de Madrid",641.0
379,77,1,Parque Infantil Vazquez de Mella,Madrid Comunidad de Madrid,650.0
380,77,1,Jardines de Lepanto,"C/ Lepanto, 28013 Madrid Comunidad de Madrid",755.0
381,77,1,Parque infantil Paseo del Prado,"Pase del Prado, 8 (Zona Central), 28014 Madrid Comunidad de Madrid",810.0
382,77,1,Parque del Emir Mohamed I,"& Calle de Segovia, 28005 Madrid Comunidad de Madrid",973.0
383,77,1,Parque Infantil Plaza Joan Pujol,N/A,979.0
384,77,1,Parl,Madrid Comunidad de Madrid,1002.0
385,77,1,Jardin de America,"28001 Madrid Comunidad de Madrid",1032.0
386,77,1,Parque Cuesta de la Vega,Madrid Comunidad de Madrid,1032.0
387,77,1,Parque Infantil del Casino,N/A,1053.0
388,77,1,Parque de Peñuelas,"28005 Madrid Comunidad de Madrid",1841.0
389,77,1,Columpios Retiro,N/A,1253.0
390,77,1,Área de Juegos Infantiles,N/A,1283.0
391,77,1,Parque Infantil el Fuerte de Madera,Madrid Comunidad de Madrid,1322.0
392,77,1,El Sitio de los Gatos,N/A,1338.0
393,77,1,Ahuehuete,Madrid Comunidad de Madrid,1356.0
394,77,1,Paseo de las Estatuas,Madrid Comunidad de Madrid,1365.0
395,77,1,Parque de Conde Duque,N/A,1417.0
396,77,1,Paseo de Mexico,Madrid Comunidad de Madrid,1476.0
397,77,1,Parque Infantil Acacias,Madrid Comunidad de Madrid,1493.0
398,77,1,Puerta de Hernani de los Jardines del Buen Retiro,Madrid Comunidad de Madrid,1522.0
399,77,1,Puerta de Hernani,Madrid Comunidad de Madrid,1539.0
